customerID,gender,Partner,SeniorCitizen,PhoneService,PaymentMethod,MonthlyCharges,Churn
7590-VHVEG,Female,Yes,0,No,Electronic check,29.85,No
5575-GNVDE,Male,No,0,Yes,Mailed check,56.95,No
3668-QPYBK,Male,No,0,Yes,Mailed check,53.85,Yes
7795-CFOCW,Male,No,0,No,Bank transfer (automatic),42.3,No
9237-HQITU,Female,No,0,Yes,Electronic check,70.7,Yes
9305-CDSKC,Female,No,0,Yes,Electronic check,99.65,Yes
1452-KIOVK,Male,No,0,Yes,Credit card (automatic),89.1,No
6713-OKOMC,Female,No,0,No,Mailed check,29.75,No
7892-POOKP,Female,Yes,0,Yes,Electronic check,104.8,Yes
6388-TABGU,Male,No,0,Yes,Bank transfer (automatic),56.15,No
9763-GRSKD,Male,Yes,0,Yes,Mailed check,49.95,No
7469-LKBCI,Male,No,0,Yes,Credit card (automatic),18.95,No
8091-TTVAX,Male,Yes,0,Yes,Credit card (automatic),100.35,No
0280-XJGEX,Male,No,0,Yes,Bank transfer (automatic),103.7,Yes
5129-JLPIS,Male,No,0,Yes,Electronic check,105.5,No
3655-SNQYZ,Female,Yes,0,Yes,Credit card (automatic),113.25,No
8191-XWSZG,Female,No,0,Yes,Mailed check,20.65,No
9959-WOFKT,Male,No,0,Yes,Bank transfer (automatic),106.7,No
4190-MFLUW,Female,Yes,0,Yes,Credit card (automatic),55.2,Yes
4183-MYFRB,Female,No,0,Yes,Electronic check,90.05,No
8779-QRDMV,Male,No,1,No,Electronic check,39.65,Yes
1680-VDCWW,Male,Yes,0,Yes,Bank transfer (automatic),19.8,No
1066-JKSGK,Male,No,0,Yes,Mailed check,20.15,Yes
3638-WEABW,Female,Yes,0,Yes,Credit card (automatic),59.9,No
6322-HRPFA,Male,Yes,0,Yes,Credit card (automatic),59.6,No
6865-JZNKO,Female,No,0,Yes,Bank transfer (automatic),55.3,No
6467-CHFZW,Male,Yes,0,Yes,Electronic check,99.35,Yes
8665-UTDHZ,Male,Yes,0,No,Electronic check,30.2,Yes
5248-YGIJN,Male,Yes,0,Yes,Credit card (automatic),90.25,No
8773-HHUOZ,Female,No,0,Yes,Mailed check,64.7,Yes
3841-NFECX,Female,Yes,1,Yes,Credit card (automatic),96.35,No
4929-XIHVW,Male,Yes,1,Yes,Credit card (automatic),95.5,No
6827-IEAUQ,Female,Yes,0,Yes,Mailed check,66.15,No
7310-EGVHZ,Male,No,0,Yes,Bank transfer (automatic),20.2,No
3413-BMNZE,Male,No,1,Yes,Bank transfer (automatic),45.25,No
6234-RAAPL,Female,Yes,0,Yes,Bank transfer (automatic),99.9,No
6047-YHPVI,Male,No,0,Yes,Electronic check,69.7,Yes
6572-ADKRS,Female,No,0,Yes,Credit card (automatic),74.8,No
5380-WJKOV,Male,No,0,Yes,Electronic check,106.35,Yes
8168-UQWWF,Female,No,0,Yes,Bank transfer (automatic),97.85,Yes
8865-TNMNX,Male,Yes,0,Yes,Mailed check,49.55,No
9489-DEDVP,Female,Yes,0,Yes,Credit card (automatic),69.2,No
9867-JCZSP,Female,Yes,0,Yes,Mailed check,20.75,No
4671-VJLCL,Female,No,0,Yes,Credit card (automatic),79.85,No
4080-IIARD,Female,Yes,0,Yes,Electronic check,76.2,No
3714-NTNFO,Female,No,0,Yes,Electronic check,84.5,No
5948-UJZLF,Male,No,0,Yes,Mailed check,49.25,No
7760-OYPDY,Female,No,0,Yes,Electronic check,80.65,Yes
7639-LIAYI,Male,No,0,Yes,Credit card (automatic),79.75,No
2954-PIBKO,Female,Yes,0,Yes,Credit card (automatic),64.15,No
